Time (s),CH1 Current (A),CH1 Voltage (V)
0:00:11.516722,0.0,7.51
0:00:11.719045,0.0,7.51
0:00:11.921516,0.0,7.51
0:00:12.124839,0.0,7.51
0:00:12.325751,0.0,7.51
0:00:12.527833,0.0,7.51
0:00:12.730045,0.0,7.51
0:00:12.931778,0.0,7.51
0:00:13.134375,0.0,7.51
0:00:13.337813,0.0,7.51
0:00:13.541472,0.0,7.51
0:00:13.743816,0.0,7.51
0:00:13.945881,0.0,7.51
0:00:14.147949,0.0,7.51
0:00:14.351408,0.0,7.51
0:00:14.553508,0.0,7.51
0:00:14.755809,0.0,7.51
0:00:14.958243,0.0,7.51
0:00:15.158835,0.0,7.51
0:00:15.361428,0.0,7.51
0:00:15.563026,0.0,7.51
0:00:15.767638,0.0,7.51
0:00:15.970285,0.0,7.51
0:00:16.172393,0.0,7.51
0:00:16.375938,0.0,7.51
0:00:16.577934,0.0,7.51
0:00:16.781498,0.0,7.51
0:00:16.983769,0.0,7.51
0:00:17.185530,0.0,7.51
0:00:17.387219,0.0,7.51
0:00:17.590214,0.0,7.51
0:00:17.792842,0.0,7.51
0:00:17.994112,0.0,7.51
0:00:18.196807,0.0,7.51
0:00:18.397026,0.0,7.51
0:00:18.598934,0.0,7.51
0:00:18.807059,0.0,7.51
0:00:19.007831,0.0,7.51
0:00:19.209262,0.0,7.51
0:00:19.410271,0.0,7.51
0:00:19.615031,0.0,7.51
0:00:19.817832,0.0,7.51
0:00:20.020476,0.0,7.51
0:00:20.223935,0.0,7.51
0:00:20.424215,0.0,7.51
0:00:20.626765,0.0,7.51
0:00:20.830367,0.0,7.51
0:00:21.034835,0.0,7.51
0:00:21.236354,0.0,7.51
0:00:21.439013,0.0,7.51
0:00:21.640486,0.0,7.51
0:00:21.842481,0.0,7.51
0:00:22.043811,0.0,7.51
0:00:22.244981,0.0,7.51
0:00:22.447938,0.0,7.51
0:00:22.651891,0.0,7.51
0:00:22.854536,0.0,7.51
0:00:23.056805,0.0,7.51
0:00:23.259048,0.0,7.51
0:00:23.461424,0.0,7.51
0:00:23.661985,0.0,7.51
0:00:23.867166,0.0,7.51
0:00:24.067958,0.0,7.51
0:00:24.270382,0.0,7.51
0:00:24.472462,0.0,7.51
0:00:24.674777,0.0,7.51
0:00:24.877882,0.0,7.51
0:00:25.081445,0.0,7.51
0:00:25.283602,0.0,7.51
0:00:25.485142,0.0,7.51
0:00:25.687549,0.0,7.51
0:00:25.889044,0.0,7.51
0:00:26.092641,0.0,7.51
0:00:26.307662,0.0,7.51
0:00:26.509295,0.0,7.51
