10,19661,19983,20143,19930,19885,19973,19841,20087,19929,19784,19962,19769,19986,19814,19999,19791,19982,19757,19902,19853,19847,19922,19690,19864,19680,19513,19773,19958,19717,19664,19884,19867,19976,19693,19755,19604,19757,19614,19789,19680,19805,19737,19779,19656,19876,19706,19759,19579,19802,19580,19774,19850,19715,19661,19580,19752,19484,19699,19517,19565,19580,19832,19510,19651,19776,19867,19876,19866,20062,19743,20006,19778,19698,19873,19810,20153,19655,20181,19841,20057,19661,20086,20021,19721,20092,20098,19904,19779,20106,19769,19853,19783,19874,20017,19804,20052,19825,19935,19939,19759,
11,19666,20006,20092,19933,19908,19985,19866,20132,20004,19797,20007,19914,20000,19779,20051,19822,20059,19832,19931,19908,19981,19998,19696,19884,19829,19509,19787,19988,19759,19792,19917,19830,20054,19736,19761,19685,19780,19572,19912,19784,19765,19685,19783,19684,19883,19727,19677,19736,19675,19528,19787,19774,19700,19569,19589,19859,19499,19731,19497,19613,19597,19884,19582,19670,19893,19936,19914,19891,20050,19629,19960,19832,19717,19904,19763,20190,19667,20308,19814,20092,19694,20100,20049,19693,20073,20136,19978,19783,20123,19803,19877,19837,19807,19934,19835,20129,19822,19907,19888,19777,
12,19674,20094,20080,20010,19900,20061,19893,20142,20065,19816,20107,19965,20158,19778,20081,19798,20085,19841,19957,19821,20050,20023,19886,19813,19884,19497,19807,20021,19730,19809,19773,19874,20081,19804,19718,19671,19803,19601,20017,19827,19759,19785,19718,19733,19688,19746,19650,19897,19709,19508,19755,19773,19740,19667,19596,19804,19465,19731,19540,19742,19702,19887,19593,19690,19897,19920,19983,19910,19987,19640,19915,19829,19733,19852,19829,20190,19681,20299,19760,20130,19767,20115,20032,19776,20044,20116,20011,19824,20077,19849,19897,19922,19870,19906,19807,20296,19858,19920,19879,19800,
13,19684,20125,20036,19985,19941,20176,19942,20068,20080,19842,20243,19959,20177,19884,20081,19802,20144,19875,19983,19779,20069,19953,19925,19851,19899,19357,19925,20052,19727,19873,19886,19865,20100,19776,19783,19624,19829,19620,20095,19906,19893,19864,19769,19838,19566,19764,19761,19964,19783,19554,19789,19784,19800,19704,19603,19735,19427,19804,19565,19820,19841,20000,19656,19710,20013,19930,20034,19920,19894,19669,19895,19747,19749,19867,19871,20197,19726,20309,19650,20189,19814,20131,20051,19910,20068,20148,20132,19862,20037,19823,19915,20081,19877,19961,19727,20352,19914,19960,19882,19828,
14,19696,20192,19969,20061,19918,20225,19935,19951,20014,19870,20304,19984,20230,19943,20136,19872,20149,19895,20006,19774,20015,19936,20023,19847,19987,19476,19957,20082,19706,19977,19832,19908,20134,19859,19677,19580,19857,19642,20058,20010,19993,19842,19731,19866,19490,19781,19906,19875,19808,19491,19798,19682,19806,19732,19612,19708,19413,19873,19625,19830,19878,20177,19620,19730,20002,19836,20018,19869,19864,19635,19942,19775,19765,19937,19976,20109,19772,20332,19662,20274,19857,20146,20072,19966,20136,20179,20141,19904,20079,19828,19931,20134,19925,20106,19746,20363,19966,19906,19909,19860,
15,19709,20154,20026,20141,19815,20247,20028,19938,19962,19899,20324,19957,20250,19994,20134,19851,20100,19863,20027,19752,19953,19939,20088,19942,20003,19701,20073,20108,19713,19937,19732,19939,20144,19860,19748,19632,19887,19693,19944,19997,20043,19934,19741,19848,19604,19799,20052,19770,19860,19558,19873,19708,19762,19775,19622,19784,19498,19901,19646,19831,19822,20240,19591,19748,20087,19876,20113,19834,19841,19650,20084,19812,19780,20058,20025,20206,19821,20288,19705,20259,19872,20164,20138,20020,20225,20224,20150,20024,20128,19854,19948,20088,19894,20235,19860,20399,19900,19904,19904,19892,
16,19724,20183,20189,20207,19830,20242,20097,19936,19965,19928,20292,19975,20284,19932,20293,19993,20080,19826,20048,19874,19937,19952,20092,20040,19947,19918,20096,20127,19863,19948,19759,19978,20101,19836,19738,19597,19917,19772,19881,19892,20049,19911,19692,19897,19708,19818,20011,19682,19876,19584,19925,19718,19814,19809,19635,19827,19641,19895,19628,19847,19862,20217,19685,19764,20014,19858,20159,19797,19898,19650,20213,19902,19795,20127,20077,20276,19888,20269,19762,20214,19856,20183,20143,19996,20257,20252,20104,20060,20196,19867,19964,20093,19938,20319,19952,20433,19925,19925,19944,19922,
17,19740,20240,20323,20213,19857,20284,20158,20044,20028,19956,20310,20032,20245,19919,20356,20003,20046,19788,20069,20026,19902,20064,20035,20096,19935,19961,20217,20141,20014,19966,19778,19962,20143,19815,19870,19636,19947,19836,19829,19789,19882,19882,19736,19842,19901,19839,20082,19698,19859,19605,19920,19709,19845,19840,19652,19935,19634,19964,19635,19809,19731,20188,19774,19778,20070,19874,20175,19800,19982,19703,20275,19992,19810,20200,20011,20314,19893,20224,19749,20191,19829,20206,20148,19933,20347,20263,20049,19996,20243,19928,19982,20061,19952,20311,19951,20412,19921,19947,20019,19949,
18,19760,20291,20374,20158,19855,20304,20167,20086,20103,19980,20291,20011,20239,19859,20319,20056,20105,19808,20091,20110,20005,20077,19971,20079,19895,19975,20291,20149,20077,20064,19849,19961,20156,19711,19960,19738,19975,19836,19811,19703,19884,19852,19775,19859,20054,19862,20043,19756,19809,19561,19954,19803,19909,19734,19670,19970,19758,19901,19758,19986,19753,20132,19871,19791,20077,19895,20174,19853,20017,19754,20175,20035,19826,20193,19965,20304,19949,20234,19691,20148,19853,20232,20174,19824,20441,20209,19999,19978,20313,20023,20001,20068,19986,20312,19992,20422,19998,19915,20101,19970,
19,19783,20208,20358,20054,19837,20378,20108,20124,20361,20002,20244,19975,20259,19866,20392,20031,20189,19914,20113,20120,20026,20119,20066,20047,19992,19965,20262,20154,20118,20208,19838,20026,20146,19775,19946,19820,20000,19766,19972,19727,19899,19818,19817,19851,20079,19886,20073,19846,19811,19578,19993,19797,19949,19714,19688,19915,19733,19937,19788,20049,19786,20084,19920,19803,20076,19815,20192,19961,20039,19922,20134,20046,19842,20166,19976,20305,19927,20226,19677,20295,19866,20260,20095,19772,20429,20275,20196,19926,20261,19970,20022,20144,19943,20337,20000,20399,20043,20074,20170,19989,
